numeroFissazioni,startTime,duration,position_x,position_y,position_z
1,0.228947,0.23028499999999996,0.45467876175200694,0.3217941578065745,458.7620069806486
2,0.549372,1.432615,0.5153029588711437,0.5355756939864867,414.88333422227674
3,3.494717,1.111964,0.5114812854593594,0.3471569439467301,345.2017633912412
4,4.636767,1.5528320000000004,0.5184747951944223,0.5197609504210416,674.7296223722722
5,6.219647,0.33060500000000026,0.6744085551045693,0.41323570638073276,358.0400586142166
6,6.5803,0.26045499999999944,0.7367532200218747,0.8315218067906662,269.2633272312668
7,7.001044,0.27051299999999934,0.7140037806577489,0.5146151662863756,271.5062299877166
8,7.421822,0.3806730000000007,0.3987538450963419,0.4792627007880286,398.97463388702346
9,7.852553,0.30059799999999903,0.658862410037194,0.40211144095210216,313.1681085577774
10,8.563872,0.5409959999999998,0.5904780939458948,0.3744015383656718,605.5390597590188
11,9.124887,0.21034800000000153,0.6252361955971032,0.5633062798194939,403.0690756145643
12,9.956414,0.24043599999999898,0.6329784589126918,0.5943820842651634,241.98113747230082
13,10.21683,0.3506669999999996,0.6164374939771644,0.5003375051530901,331.5310907158924
14,10.58755,0.4207439999999991,0.6499374103683571,0.4239722681071863,556.7685936490666
15,11.31888,0.8314970000000006,0.4301380904643481,0.3592956905619501,360.67756577770365
16,12.901688,3.3861810000000006,0.5152520129346175,0.3550638743799447,368.13789045182676
17,16.317917,0.21038699999999722,0.5793679700545246,0.47699456247324346,364.90702419088154
18,16.558353,0.44079599999999886,0.7404912145298149,0.6893930224582376,320.39933218216646
19,17.560165,0.31051300000000026,0.4015428319736406,0.4755707799635066,371.94783505740355
20,18.662142,0.4808710000000005,0.7829252322297218,0.2036131516720625,260.5674179015865
21,19.193071,0.39073899999999995,0.767831218461038,0.461106949848554,568.7287494734084
22,19.623882,0.29049300000000144,0.7152148704150652,0.2302492340793038,179.4531243893753
23,20.265042,0.2504199999999983,0.7105313171619559,0.16793970809660175,200.852659174093
24,20.535554,0.3305749999999996,0.7459388066797585,0.3781091091714027,206.88690695353333
25,21.056497,0.6912289999999999,0.6843849005934253,0.3948923696969004,236.4986556049927
26,21.807849,0.9216680000000004,0.5081054924608951,0.29484303275420953,261.9322317829477
27,23.540991,0.35062799999999683,0.5283665392672672,0.5071380738594561,267.821036442926
28,23.931692,2.2240079999999978,0.5527709614123322,0.5603862709233094,269.2733175185884
29,26.626574,0.5910629999999983,0.4004172639300508,0.37652311521527326,573.440264342848
30,27.237656,0.22041600000000017,0.4539164761313051,0.3405213175240681,575.5971501813323
31,27.588315,1.3123669999999983,0.42883632840506836,0.2551127387767116,210.81305239083989
32,29.070997,0.8515180000000022,0.4143279310495751,0.22413066749097238,251.63984606090807
33,29.942567,0.22038299999999822,0.4193086092434377,0.16453817122055842,237.34532725103767
34,30.273171,0.9917889999999971,0.4213128393505353,0.24449432860203188,374.91030178486
35,31.305032,0.3906579999999984,0.3557928788664164,0.26679162968891074,293.0538300382921
36,31.90612,1.3523980000000009,0.7217755645206501,0.6263355839092588,408.3390172681933
37,33.368749,1.562827999999996,0.4559773058904304,0.548774214451296,446.7748513404808
38,34.971649,0.24043600000000254,0.5272273208124011,0.3575596828905573,438.0344173504016
39,35.432499,2.093795,0.44546908371177296,0.5611863261168015,444.9372373535927
40,37.556342,0.340600000000002,0.39746087576195954,0.45127405326463843,434.0434592982731
41,38.027145,0.5610150000000047,0.49150637212532644,0.16089534073883038,217.49869953009696
42,38.648324,0.29050300000000107,0.6227018252385317,0.09144227668758442,423.98949087126266
43,39.219335,0.23043899999999695,0.707800625782342,0.47553077836644037,291.4948944882237
44,39.539915,0.6311639999999983,0.4038942503741648,0.5549748669913882,412.76528851017014
45,40.802214,0.6812329999999989,0.4483737754756474,0.4660798146332451,470.69249072174074
46,41.503466,0.270512999999994,0.41997854093362363,0.5658865009612173,465.19249253220926
